fibre,rating,price_per_unit,fat,carbohydrates,starch,protein,unit,product_origin,energy_kj,total_sugars,salt,item_code,url,name,reviews,energy_kcal,saturates
,3.8667,£2.80/unit,,,,,unit,Produced in United Kingdom; Packed in United Kingdom; Produced using Produced and packed in the UK using British turkey,,,,7689724,https://www.sainsburys.co.uk/shop/gb/groceries/turkey-44/sainsburys-turkey-meatballs-400g,Sainsbury's Turkey Meatballs 400g,15,,
,3.8095,£4.00/unit,,,,,unit,Produced in United Kingdom; Packed in United Kingdom; Produced using British Turkey,,,,551694,https://www.sainsburys.co.uk/shop/gb/groceries/turkey-44/sainsburys-just-cook-roast-butter-basted-turkey,Sainsbury's Just Cook Turkey Breast Joint Butter Basted 500g (Serves 3),21,,
,4.6667,£2.15/unit,,,,,unit,Produced in United Kingdom; Produced using British Turkey,,,,7689730,https://www.sainsburys.co.uk/shop/gb/groceries/turkey-44/sainsburys-turkey-breast-mince-250g,Sainsbury's Turkey Breast Mince 2% Fat 250g,3,,
,3.8182,£2.85/unit,,,,,unit,,,,,7839772,https://www.sainsburys.co.uk/shop/gb/groceries/turkey-44/sainsburys-turkey-sausages-x8-454g,Sainsbury's Turkey Sausages x8 454g,22,,
,5.0,£3.50/unit,,,,,unit,Produced in United Kingdom; Packed in United Kingdom; Produced using British turkey.,,,,7858147,https://www.sainsburys.co.uk/shop/gb/groceries/turkey-44/sainsburys-quick-cook-turkey-steaks-x4-400g,Sainsbury's Quick Cook Turkey Steaks x4 400g,1,,
,3.8261,£3.00/unit,,,,,unit,Produced in United Kingdom; Produced using British Turkey,,,,6609048,https://www.sainsburys.co.uk/shop/gb/groceries/turkey-44/sainsburys-seasoned-turkey-thigh-750g,Sainsbury's British Turkey Thigh Joint 750g,23,,
,4.5,£3.50/unit,,,,,unit,Produced in United Kingdom; Produced using British turkey,,,,7858132,https://www.sainsburys.co.uk/shop/gb/groceries/turkey-44/sainsburys-turkey-burgers-454g,Sainsbury's Turkey Burgers 454g,6,,
,0.0,£3.75/unit,,,,,unit,Produced in United Kingdom; Packed in United Kingdom; Produced using Produced and packed in the UK using British turkey.,,,,7916559,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1219796&urlRequestType=Base&categoryId=369361&catalogId=10251&langId=44,Sainsbury's Turkey Breast Mini Fillets 400g,0,,
,0.0,£2.50/unit,,,,,unit,Produced in United Kingdom; Produced using British Turkey,,,,7916568,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1219802&urlRequestType=Base&categoryId=369361&catalogId=10251&langId=44,Sainsbury's Diced Turkey Breast 300g,0,,
,3.0,£2.20/unit,,,,,unit,,,,,6650279,https://www.sainsburys.co.uk/shop/gb/groceries/turkey-44/gilberts-roast-turkey-breast-142g,Gilbert's Roast Turkey Breast 142g,2,,
,2.8,£2.45/unit,,,,,unit,Produced in United Kingdom; Produced using British Turkey,,,,7264791,https://www.sainsburys.co.uk/shop/ProductDisplay?storeId=10151&productId=1253172&urlRequestType=Base&categoryId=369361&catalogId=10251&langId=44,Sainsbury's British Fresh Turkey Breast Fillet Portions 260g,5,,
